Year,site,r95ptot,rx1day
2009,Gore,15.147155,27
2010,Gore,23.61814702,40
2011,Gore,17.07575116,64
2012,Gore,21.48382177,36.4
2013,Gore,24.05247813,53.8
2014,Gore,21.65013716,30
2015,Gore,10.83068362,44.6
2016,Gore,18.20518813,33.8
1960,Hamilton,21.11329083,80.3
1961,Hamilton,22.49348644,85.3
1962,Hamilton,25.46046945,60.3
1963,Hamilton,10.46640141,56.5
1964,Hamilton,15.27314174,79
1965,Hamilton,20.43710377,95.3
1966,Hamilton,31.18811881,67.5
1967,Hamilton,35.66403133,134.1
1968,Hamilton,12.55063883,53.5
1969,Hamilton,18.18350496,49.2
1970,Hamilton,13.7065278,77
1971,Hamilton,24.64922537,45.5
1972,Hamilton,37.06091596,79.8
1973,Hamilton,20.55003044,44.3
1974,Hamilton,20.13988371,74.6
1975,Hamilton,22.21498901,48.9
1976,Hamilton,31.01326405,88.3
1977,Hamilton,28.94166734,81.1
1978,Hamilton,30.00410172,51
1979,Hamilton,26.50147929,59
1980,Hamilton,13.21933574,43.5
1981,Hamilton,11.26019022,68.2
1982,Hamilton,23.93189509,50.6
1983,Hamilton,28.40365828,41
1984,Hamilton,20.19477191,52.7
1985,Hamilton,32.13774455,80.1
1986,Hamilton,33.0440066,73.7
1987,Hamilton,20.13717904,97.2
1988,Hamilton,19.01972607,41.8
1989,Hamilton,15.8619005,74.5
1990,Hamilton,16.43642305,70
1991,Hamilton,24.75338572,37.4
1992,Hamilton,19.29093625,44.8
1993,Hamilton,21.88576799,40.8
1994,Hamilton,8.895311496,45
1995,Hamilton,31.78241997,51
1996,Hamilton,32.31699127,70.2
1997,Hamilton,13.55769231,56.8
1998,Hamilton,37.59632727,58.8
1999,Hamilton,14.16044776,46
2000,Hamilton,8.915085651,63
2001,Hamilton,27.99865794,52.6
2002,Hamilton,14.87826871,51
2003,Hamilton,22.59400084,80.4
2004,Hamilton,24.76501839,83
2005,Hamilton,23.46098648,51.8
2006,Hamilton,26.02588384,49.8
2007,Hamilton,25.69979335,55
2008,Hamilton,23.1861999,50.6
2009,Hamilton,14.64462501,50.2
2010,Hamilton,18.63170832,78.4
2011,Hamilton,35.27867131,72.6
2012,Hamilton,26.83234714,57.8
2013,Hamilton,16.55081721,68.8
2014,Hamilton,21.27618682,52.6
2015,Hamilton,19.83017867,66.8
2016,Hamilton,3.378319547,38.8
1960,Hokitika,0,0
1961,Hokitika,0,0
1962,Hokitika,0,0
1963,Hokitika,0,0
1964,Hokitika,15.76539781,138.4
1965,Hokitika,14.08132264,86.4
1966,Hokitika,17.85197042,96
1967,Hokitika,29.29995364,166.1
1968,Hokitika,28.7192294,119.1
1969,Hokitika,18.87037262,92.2
1970,Hokitika,27.7647379,85.1
1971,Hokitika,21.50830955,84.6
1972,Hokitika,32.31917529,175.3
1973,Hokitika,12.98598464,89.4
1974,Hokitika,27.4434318,101.3
1975,Hokitika,18.99621149,85.8
1976,Hokitika,15.99351301,110.8
1977,Hokitika,5.085927567,71.7
1978,Hokitika,37.24753738,137.8
1979,Hokitika,23.62642425,117.8
1980,Hokitika,12.99902263,79.1
1981,Hokitika,27.30235108,103.4
1982,Hokitika,9.900268508,79.1
1983,Hokitika,33.88538459,166.3
1984,Hokitika,18.69593686,143.4
1985,Hokitika,16.46173689,88
1986,Hokitika,14.4874931,100.6
1987,Hokitika,26.47362311,128.9
1988,Hokitika,17.05950916,110.5
1989,Hokitika,25.72506317,100.1
1990,Hokitika,18.04420323,144
1991,Hokitika,16.95127337,121
1992,Hokitika,34.9107482,123.5
1993,Hokitika,22.99372789,103.5
1994,Hokitika,22.03164136,101.8
1995,Hokitika,26.45904509,79
1996,Hokitika,28.63815143,116.8
1997,Hokitika,13.78851349,109.5
1998,Hokitika,26.62196144,140
1999,Hokitika,26.13249641,113.3
2000,Hokitika,29.79737783,109.5
2001,Hokitika,13.80643279,82.3
2002,Hokitika,17.55861453,90
2003,Hokitika,14.46147473,85.4
2004,Hokitika,14.60423263,91.1
2005,Hokitika,24.55562095,148.5
2006,Hokitika,28.3025981,157.2
2007,Hokitika,17.22433305,135.1
2008,Hokitika,14.52786918,71.2
2009,Hokitika,24.55053794,151
2010,Hokitika,28.12478384,88.4
2011,Hokitika,21.57684251,127.3
2012,Hokitika,30.76609163,97.6
2013,Hokitika,20.61797115,80.1
2014,Hokitika,13.91746955,88
2015,Hokitika,31.21842543,211.3
2016,Hokitika,33.0214769,156.1
1960,Invercargill,22.45736593,39.9
1961,Invercargill,12.37903962,39.9
1962,Invercargill,14.17389465,40.6
1963,Invercargill,14.19100891,34
1964,Invercargill,22.38346949,46
1965,Invercargill,24.94880826,43.2
1966,Invercargill,19.22178079,27.4
1967,Invercargill,21.4350045,39.6
1968,Invercargill,22.06485278,42.2
1969,Invercargill,7.221393962,27.4
1970,Invercargill,24.71140677,37.6
1971,Invercargill,19.3562278,34.8
1972,Invercargill,27.68444631,41.6
1973,Invercargill,7.370270829,25.9
1974,Invercargill,9.100139612,25.7
1975,Invercargill,9.982389471,29.9
1976,Invercargill,10.00651183,42.3
1977,Invercargill,28.95914941,43
1978,Invercargill,25.70751924,51
1979,Invercargill,25.9994164,50.4
1980,Invercargill,25.8615936,73.4
1981,Invercargill,15.21263438,25.7
1982,Invercargill,28.02912922,43
1983,Invercargill,20.93062894,51.8
1984,Invercargill,29.23834976,134.4
1985,Invercargill,22.03217267,43.8
1986,Invercargill,28.95970009,32
1987,Invercargill,18.54817187,53.9
1988,Invercargill,24.55385097,44.9
1989,Invercargill,26.60316862,49.7
1990,Invercargill,14.45062874,33.6
1991,Invercargill,17.38947368,67.2
1992,Invercargill,10.54316295,29.7
1993,Invercargill,16.59777717,35
1994,Invercargill,21.44226162,42.4
1995,Invercargill,30.46127067,26.9
1996,Invercargill,20.23857663,33
1997,Invercargill,21.01973935,64.3
1998,Invercargill,14.64410239,32.3
1999,Invercargill,28.11530743,52.3
2000,Invercargill,12.54800307,29.8
2001,Invercargill,26.17876772,52.5
2002,Invercargill,13.27794325,45.9
2003,Invercargill,14.55117491,31
2004,Invercargill,21.02234512,62.3
2005,Invercargill,24.43269844,35.5
2006,Invercargill,20,34.5
2007,Invercargill,18.35106383,37.5
2008,Invercargill,17.84838678,41.4
2009,Invercargill,15.00048109,30.5
2010,Invercargill,25.94479437,43.6
2011,Invercargill,27.61489046,53.8
2012,Invercargill,26.19609323,33.3
2013,Invercargill,22.35431865,46
2014,Invercargill,14.46425289,38.4
2015,Invercargill,12.60185185,40.7
2016,Invercargill,9.8770214,28.6
1960,Kerikeri,0,0
1961,Kerikeri,0,0
1962,Kerikeri,0,0
1963,Kerikeri,0,0
1964,Kerikeri,0,0
1965,Kerikeri,0,0
1966,Kerikeri,0,0
1967,Kerikeri,0,0
1968,Kerikeri,0,0
1969,Kerikeri,0,0
1970,Kerikeri,0,0
1971,Kerikeri,0,0
1972,Kerikeri,0,0
1973,Kerikeri,0,0
1974,Kerikeri,0,0
1975,Kerikeri,0,0
1976,Kerikeri,0,0
1977,Kerikeri,0,0
1978,Kerikeri,0,0
1979,Kerikeri,0,0
1980,Kerikeri,0,0
1981,Kerikeri,0,0
1982,Kerikeri,18.53686553,83
1983,Kerikeri,31.64022518,125.3
1984,Kerikeri,17.31354179,150
1985,Kerikeri,41.00300194,132.3
1986,Kerikeri,32.24786784,163.2
1987,Kerikeri,28.47042485,73.5
1988,Kerikeri,35.13323983,136.4
1989,Kerikeri,42.41725338,120.4
1990,Kerikeri,19.86357999,65.5
1991,Kerikeri,15.2172199,65.6
1992,Kerikeri,21.32126907,111.2
1993,Kerikeri,25.78475336,117.2
1994,Kerikeri,9.612306598,57.6
1995,Kerikeri,28.85652024,87.5
1996,Kerikeri,32.81916639,162.4
1997,Kerikeri,30.04409791,130.4
1998,Kerikeri,31.94037146,86.5
1999,Kerikeri,29.07484513,83
2000,Kerikeri,21.64276402,73
2001,Kerikeri,31.2475384,146.3
2002,Kerikeri,24.03558816,72.2
2003,Kerikeri,30.93958996,116.4
2004,Kerikeri,27.14268396,131.8
2005,Kerikeri,4.364370583,56.2
2006,Kerikeri,42.32214591,113.2
2007,Kerikeri,42.4106051,207.6
2008,Kerikeri,29.10650541,157.6
2009,Kerikeri,37.22916536,132.4
2010,Kerikeri,17.75577097,77
2011,Kerikeri,52.69606718,252.2
2012,Kerikeri,22.75665738,167.6
2013,Kerikeri,31.54707415,95
2014,Kerikeri,43.1452727,116.8
2015,Kerikeri,0,41
2016,Kerikeri,22.2936965,61
1960,Lake.Tekapo,22.29852555,32
1961,Lake.Tekapo,40.22112655,74.9
1962,Lake.Tekapo,8.619274339,27.9
1963,Lake.Tekapo,28.02415876,52.1
1964,Lake.Tekapo,26.96278979,42.4
1965,Lake.Tekapo,34.29398986,52.1
1966,Lake.Tekapo,20.09005146,42.4
1967,Lake.Tekapo,47.30524829,97.3
1968,Lake.Tekapo,19.92481203,35.6
1969,Lake.Tekapo,18.84597487,52.3
1970,Lake.Tekapo,40.99866647,56.6
1971,Lake.Tekapo,22.14965986,28.2
1972,Lake.Tekapo,40.24239086,60
1973,Lake.Tekapo,32.1376636,30.1
1974,Lake.Tekapo,20.59707904,27
1975,Lake.Tekapo,32.89493575,37
1976,Lake.Tekapo,14.27844235,30.1
1977,Lake.Tekapo,28.96430661,99.5
1978,Lake.Tekapo,17.35395189,35.6
1979,Lake.Tekapo,36.98735739,48.2
1980,Lake.Tekapo,36.9121813,74
1981,Lake.Tekapo,18.93795204,71.5
1982,Lake.Tekapo,18.0141844,39
1983,Lake.Tekapo,37.53964059,83
1984,Lake.Tekapo,27.57832898,58
1985,Lake.Tekapo,22.38379023,46
1986,Lake.Tekapo,41.36024994,99
1987,Lake.Tekapo,16.532429,52
1988,Lake.Tekapo,16.42216789,31.6
1989,Lake.Tekapo,21.85950413,30
1990,Lake.Tekapo,29.98575499,80.7
1991,Lake.Tekapo,36.45699615,91.5
1992,Lake.Tekapo,19.39058172,68
1993,Lake.Tekapo,20.33092765,42.3
1994,Lake.Tekapo,47.16217778,116.2
1995,Lake.Tekapo,35.15248796,50.8
1996,Lake.Tekapo,10.26140156,25.9
1997,Lake.Tekapo,36.84408501,57.3
1998,Lake.Tekapo,4.984662577,26
1999,Lake.Tekapo,33.39474896,41.5
2000,Lake.Tekapo,33.21304292,43
2001,Lake.Tekapo,6.814044213,26.2
2002,Lake.Tekapo,18.35364777,32.8
2003,Lake.Tekapo,11.96383028,51.6
2004,Lake.Tekapo,14.00067069,30.2
2005,Lake.Tekapo,15.70293231,33.7
2006,Lake.Tekapo,26.72360248,60.5
2007,Lake.Tekapo,7.066492829,27.1
2008,Lake.Tekapo,5.66358316,30
2009,Lake.Tekapo,27.83043253,98.8
2010,Lake.Tekapo,32.85691849,67.9
2011,Lake.Tekapo,30.64401982,71.4
2012,Lake.Tekapo,32.18496402,43
2013,Lake.Tekapo,46.8723099,48.3
2014,Lake.Tekapo,39.55788249,180
2015,Lake.Tekapo,26.46646647,70
2016,Lake.Tekapo,19.40665155,31.6
1960,Masterton,0,0
1961,Masterton,0,0
1962,Masterton,0,0
1963,Masterton,0,0
1964,Masterton,0,0
1965,Masterton,0,0
1966,Masterton,0,0
1967,Masterton,0,0
1968,Masterton,0,0
1969,Masterton,0,0
1970,Masterton,0,0
1971,Masterton,0,0
1972,Masterton,0,0
1973,Masterton,0,0
1974,Masterton,0,0
1975,Masterton,0,0
1976,Masterton,0,0
1977,Masterton,0,0
1978,Masterton,0,0
1979,Masterton,0,0
1980,Masterton,0,0
1981,Masterton,0,0
1982,Masterton,0,0
1983,Masterton,0,0
1984,Masterton,0,0
1985,Masterton,0,0
1986,Masterton,0,0
1987,Masterton,0,0
1988,Masterton,0,0
1989,Masterton,0,0
1990,Masterton,0,0
1991,Masterton,0,0
1992,Masterton,0,0
1993,Masterton,27.53259779,52
1994,Masterton,19.61623412,90.5
1995,Masterton,27.07831883,47.6
1996,Masterton,12.11904275,38.6
1997,Masterton,13.93095768,44.8
1998,Masterton,10.75655431,43
1999,Masterton,20.33024944,34.9
2000,Masterton,20.17414904,57.7
2001,Masterton,32.77671217,57.3
2002,Masterton,16.00780234,39.1
2003,Masterton,32.42471134,82.5
2004,Masterton,29.69107551,76.7
2005,Masterton,30.96085409,81.7
2006,Masterton,40.11651105,91.1
2007,Masterton,16.79988581,34
2008,Masterton,33.51643708,47
2009,Masterton,20.36049488,35.5
2010,Masterton,16.51674434,67.8
2011,Masterton,29.87281226,81.4
2012,Masterton,25.79202385,47
2013,Masterton,37.51962323,62.8
2014,Masterton,15.37267081,37.4
2015,Masterton,8.605293654,32.8
2016,Masterton,16.80717316,37.4
1960,Milford.Sound,28.39019857,235
1961,Milford.Sound,18.98789002,279.7
1962,Milford.Sound,9.092704117,189.5
1963,Milford.Sound,24.50039339,172
1964,Milford.Sound,10.93871755,215.9
1965,Milford.Sound,20.33477895,292.1
1966,Milford.Sound,17.40672572,304.8
1967,Milford.Sound,37.00811054,345.4
1968,Milford.Sound,26.3101482,234.2
1969,Milford.Sound,17.76042095,176.3
1970,Milford.Sound,29.76618941,283.2
1971,Milford.Sound,16.90526957,176.5
1972,Milford.Sound,33.45666886,270
1973,Milford.Sound,32.01244252,232
1974,Milford.Sound,17.70245236,373.7
1975,Milford.Sound,26.51787549,300.4
1976,Milford.Sound,14.25363432,207.5
1977,Milford.Sound,18.45972851,232.6
1978,Milford.Sound,48.09609031,412.2
1979,Milford.Sound,24.06096974,316
1980,Milford.Sound,23.95779942,223
